City,Locality,Property Type,Price,Furnishing Status,Number of Rooms,Number of Bathroom,Balcony,Clubhouse,Swimming Pool,"""Kids Play Areas""",Parking,Area (Sq.Ft.),Area Type,State
Bangalore,Whitefield,Apartment,37500000.0,Unfurnished,3,3,"Connected,Individual,Room-attached",1,1,1,0,2757.0,Area,Karnatka
Bangalore,Tirumanahalli,Apartment,6500000.0,Unfurnished,2,2,Individual,0,0,0,0,1179.0,Area,Karnatka
Bangalore,Whitefield,Apartment,17600000.0,Unfurnished,2,2,"Connected,Individual,Room-attached",1,1,1,0,1486.0,Area,Karnatka
Bangalore,Budigere,Apartment,6284000.0,Unfurnished,2,2,"Connected,Individual,Room-attached",1,1,1,0,745.0,Area,Karnatka
Bangalore,Banaswadi,Apartment,9800000.0,Unfurnished,2,2,Individual,0,0,0,0,1256.0,Area,Karnatka
Bangalore,Ckikkakammana Halli,Plot,21595867.1294001,Unfurnished,0,0,No Balcony,0,0,1,0,10000.0,Area,Karnatka
Bangalore,Kaveri Nagar,Apartment,14000000.0,Unfurnished,4,3,Connected,0,0,0,0,1800.0,Area,Karnatka
Bangalore,Shivaji Nagar,Builder Floor,17200000.0,Unfurnished,3,3,Connected,0,0,0,0,1525.0,Area,Karnatka
Bangalore,Bidadi,Plot,21595867.1294001,Unfurnished,0,0,No Balcony,0,0,0,0,6702.0,Area,Karnatka
Bangalore,Nelamangala,Plot,21595867.1294001,Unfurnished,0,0,No Balcony,0,0,0,0,6702.0,Area,Karnatka
Bangalore,Raja Rajeshwari Nagar,Independent House,35000000.0,Unfurnished,5,6,"Individual,Room-attached",0,0,0,0,4000.0,Area,Karnatka
Bangalore,Whitefield,Apartment,12800000.0,Unfurnished,2,2,Individual,0,0,0,0,1267.0,Area,Karnatka
Bangalore,Bagaluru,Apartment,9000000.0,Unfurnished,2,2,Room-attached,0,0,0,0,1092.0,Area,Karnatka
Bangalore,Nri Layout,Builder Floor,31000000.0,Unfurnished,6,2,Individual,0,0,0,0,4500.0,Area,Karnatka
Bangalore,Rachenahalli,Apartment,17900000.0,Unfurnished,2,3,"Connected,Individual,Room-attached",1,1,1,0,1499.0,Area,Karnatka
Bangalore,Whitefield,Villa,60000000.0,Unfurnished,4,2,Individual,0,0,0,0,3500.0,Area,Karnatka
Bangalore,Sultanpalya,Builder Floor,13800000.0,Unfurnished,3,5,Connected,0,0,0,0,1400.0,Area,Karnatka
Bangalore,Kanakapura Road,Apartment,18500000.0,Unfurnished,3,2,"Connected,Individual,Room-attached",0,1,1,0,1748.0,Area,Karnatka
